Sample_number	N	Tick_Genus	Tick_species	Gender	Life_stage	Parasite	Bloodmeal	Animal host1	Animal host2	latitude	longtitude	colletion_date	Ecological_enviroment1	Ecological_enviroment2	Multiple_50km	Multiple_100km	meanpres	meanwind	meantemp	meanhum1	ssd	meanmaxtem	maxprec	meanmintem	meanprec	Zone_4	Zone_5	Clade	Clade_filtered	Province	Shannon_OTU95	Simpson_OTU95	OTU_new_Shannon_verfam2	OTU_new_Simpson_verfam2	Total_p1	Total_p2	Total_p4	Total_normalized	Total_vefam_normalized	Virus_rmEVE5_normalized	Excluded_lib	OTU_new_OV_verfam1	OTU_new_Chao1_verfam1	OTU_new_Shannon_verfam1	OTU_new_Simpson_verfam1	OTU_new_OV_verfam3	OTU_new_Chao1_verfam3	OTU_new_Shannon_verfam3	OTU_new_Simpson_verfam3	100km	10km	110km	120km	130km	140km	150km	160km	170km	180km	190km	200km	20km	30km	40km	50km	60km	70km	80km	90km	Jingmen_tick_virus_p5	Alongshan_virus_p5	Tamdy_virus_p5	Beiji_nairovirus_p5	Nairobi sheep_disease_virus_p5	Yezo_virus_p5	Thogoto_thogotovirus_p5	Songling_virus_p5	Severe_fever_with_thrombocytopenia_syndrome_virus_p5	Tacheng_tick_virus_2_p5	Eyach_virus_p5	Total_p5
1257	13	4	15	1	1	2	1	2	2	117.961667	32.323056	07/02/2019	1	1	Single	Single	1012.780029	2.170079947	16.04540062	77.50299835	148.2149963	34.53850174	180.1640015	-2.208679914	94.18840027	49	40	HL5	HLf5	Anhui	1.194037979	0.306253608	3.381821182	0.843779601	360.9195677	360.2192506	0.051242721	10383.52615	239.4913989	636.3748166	N	58	58	3.579345089	0.855623818	58	58	3.579345089	0.855623818	Single	Single	Single	Single	Single	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
1258	13	4	15	1	1	2	1	2	2	117.961667	32.323056	07/02/2019	1	1	Single	Single	1012.780029	2.170079947	16.04540062	77.50299835	148.2149963	34.53850174	180.1640015	-2.208679914	94.18840027	49	40	HL5	HLf5	Anhui	1.135438055	0.296355477	2.10615915	0.511029695	444.7722888	49935.76999	0.03834376	12729.04732	1414.071889	2568.640873	N	71	71	2.273210399	0.532603901	71	71	2.273210399	0.532603901	Single	Single	Single	Single	Single	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0.007668752	0	0	0	0.015337504	0	0	0.023006256
1259	13	4	15	1	1	2	1	2	2	117.961667	32.323056	07/02/2019	1	1	Single	Single	1012.780029	2.170079947	16.04540062	77.50299835	148.2149963	34.53850174	180.1640015	-2.208679914	94.18840027	49	40	HL5	HLf5	Anhui	0.664137373	0.172640591	2.403108224	0.61849057	407.7037904	4389.549069	0.016036493	17702.87752	1000.300331	1434.35208	N	63	63	2.52285412	0.6305758	63	63	2.52285412	0.6305758	Single	Single	Single	Single	Single	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
1260	20	4	15	2	1	2	1	2	2	117.961667	32.323056	07/02/2019	1	1	Single	Single	1012.780029	2.170079947	16.04540062	77.50299835	148.2149963	34.53850174	180.1640015	-2.208679914	94.18840027	49	40	HL5	HLf5	Anhui	0.455571043	0.118217829	2.473717796	0.729775156	195.4450411	2388.715082	0	24279.4168	131.3718485	329.7040178	N	35	35	2.568682815	0.736632191	35	35	2.568682815	0.736632191	Single	Single	Single	Single	Single	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
1261	20	4	15	2	1	2	1	2	2	117.961667	32.323056	07/02/2019	1	1	Single	Single	1012.780029	2.170079947	16.04540062	77.50299835	148.2149963	34.53850174	180.1640015	-2.208679914	94.18840027	42	34	HL5	HLf5	Anhui	0.935713346	0.232248901	2.148824216	0.705684868	763.1355575	764.072882	0.017042264	13533.76491	475.5473458	2605.072015	N	50	50	2.195741604	0.70871084	50	50	2.195741604	0.70871084	Single	Single	Single	Single	Single	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
1262	13	4	15	1	1	2	1	2	2	117.543611	32.639167	07/03/2019	1	1	Single	Single	1013.369995	2.12154007	15.98009968	77.24019623	165.8999939	34.37049866	183.7350006	-2.888940096	90.2661972	49	40	HL5	HLf5	Anhui	0.696487131	0.184126898	3.716230234	0.88444405	369.234969	369.3322874	0.01769426	16866.41628	89.02866883	810.9367796	N	58	58	3.895194825	0.8926895	58	58	3.895194825	0.8926895	Single	Single	Single	Single	Single	Single	Single	Single	Single	Single	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
1263	13	4	15	1	1	2	1	2	2	117.543611	32.639167	07/03/2019	1	1	Single	Single	1013.369995	2.12154007	15.98009968	77.24019623	165.8999939	34.37049866	183.7350006	-2.888940096	90.2661972	49	40	HL5	HLf5	Anhui	0.908020792	0.229622975	3.708311776	0.874094557	365.6886262	363.5053619	0	16259.33146	33.42512494	1234.676702	N	56	56	3.961560923	0.888180691	56	56	3.961560923	0.888180691	Single	Single	Single	Single	Single	Single	Single	Single	Single	Single	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
1264	13	4	15	1	1	2	1	2	2	117.543611	32.639167	07/03/2019	1	1	Single	Single	1013.369995	2.12154007	15.98009968	77.24019623	165.8999939	34.37049866	183.7350006	-2.888940096	90.2661972	49	40	HL5	HLf5	Anhui	0.642964103	0.161221078	3.599734945	0.857388635	803.3974161	802.066136	0.026759398	24688.06034	8.750323254	2297.200689	N	52	52	3.91492926	0.879814696	52	52	3.91492926	0.879814696	Single	Single	Single	Single	Single	Single	Single	Single	Single	Single	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0.013379699	0	0	0	0	0	0	0.013379699
1265	11	4	15	1	1	2	1	3	3	117.543611	32.639167	07/03/2019	1	1	Single	Single	1013.369995	2.12154007	15.98009968	77.24019623	165.8999939	34.37049866	183.7350006	-2.888940096	90.2661972	42	34	HL5	HLf5	Anhui	0.533432172	0.150325793	3.561611127	0.867958391	232.2296533	228.7083207	0.79341417	19383.01012	13.57718855	39.8846629	N	49	49	3.850753654	0.88639884	49	49	3.850753654	0.88639884	Single	Single	Single	Single	Single	Single	Single	Single	Single	Single	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0.160465787	0	0	0	0.196124851	0	0	0.356590638
1306	13	4	15	1	1	2	1	2	2	118.041619	31.797476	07/16/2019	1	2	Single	Multiple	1013.25	2.154249907	16.70280075	76.84649658	142.7779999	34.68259811	189.9730072	-0.871950984	104.3779984	49	40	HL5	HLf5	Anhui	0.762089957	0.210513471	1.903866933	0.578961959	442.0714743	7853.066702	128.0032757	12402.11342	626.8450949	1519.181944	N	40	40	1.993466626	0.587934354	40	40	1.993466626	0.587934354	Multiple	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Multiple	0	0	0	0	0	0	0	0	109.9719999	0	0	109.9719999
